random number	proxy_for_searching_Wiki	Name	year_membership_academy	potential_first_year_as nominator	death	range	first_nomination_year	last_nomination_year			
38906	21.7794117647059	Yngve Zotterman	1953	1953	1982	29				25.3636363636364	1.97174718473597
8626	134.651960784314	Einar Hammarsten	1937	1937	1968	31	1937	1955			
34588	14.2745098039216	Herman Wold	1960	1960	1992	32					
22439	32.0539215686275	Eugenius Warming	1922	1922	1924	2					
32182	34.0637254901961	Anders Wiman	1905	1905	1959	54					
157	28.7941176470588	Waldemar Christofer Brøgger	1890	1900	1940	40	1902	1929			
23214	95.2058823529412	Uno Willers	1947	1947	1980	33					
11301	66.0098039215686	Hilding Köhler	1947	1947	1982	35					
1746	139	Louis de Broglie	1938	1938	1987	49	1939	1939			
29073	113.009803921569	Alan Walsh	1969	1969	1998	29					
15127	145.18137254902	John Axel Nannfeldt	1955	1955	1985	30					
24865	136.843137254902	William Henry White	1900	1900	1913	13	1909	1909			
32121	103.549019607843	Jacob Wallenberg	1961	1961	1980	19					
18382	190.436274509804	Hans Pettersson	1948	1948	1966	18	1954	1960			
18787	52.1078431372549	Albrecht Penck	1905	1905	1945	40					
21793	18.9705882352941	Paul Uhlenhuth	1936	1936	1957	21					
39955	38.6617647058824	Ivar Waller	1945	1945	1991	46					
14231	117.661764705882	Örjan Ouchterlony	1968	1968	2004	36					
39795	22.7794117647059	Henry Wallman	1950	1950	1992	42					
13158	0	Sten Lindroth	1966	1966	1980	14					
20043	98.25	Wilhelm Ramsay	1914	1914	1928	14					
36355	178.210784313726	Alfred Elis Törnebohm	1876	1900	1911	11					
17579	86.171568627451	Henrik Schück	1913	1913	1947	34					
22280	109.21568627451	Henrik Gustaf Söderbaum	1898	1900	1933	33					
4167	20.4264705882353	Hjalmar Frisk	1968	1968	1984	16					
17480	85.6862745098039	Gustaf Retzius	1901	1901	1919	18					
38288	187.686274509804	Gustav Tschermak von Seysenegg	1905	1905	1927	22					
33700	165.196078431373	Esaias Tegnér Jr.	1882	1900	1928	28					
14781	72.4558823529412	Lise Meitner	1945	1945	1968	23					
37701	184.808823529412	Eduard Suess	1895	1900	1914	14					
37242	182.558823529412	Ingvar Svennilson	1960	1960	1972	12					
24430	119.754901960784	Folke K. Skoog	1970	1970	2001	31					
14973	73.3970588235294	Dmitri Mendeleev	1905	1905	1907	2					
16401	80.3970588235294	Harald Nordenson	1930	1930	1980	50					
39983	195.995098039216	Marie Alfred Cornu	1892	1900	1902	2					
34846	170.813725490196	Knut Fredrik Söderwall	1892	1900	1924	24					
4443	21.7794117647059	Thomas Edison	1890	1900	1931	31					
27469	134.651960784314	Gösta Lundqvist	1951	1951	1967	16					
2912	14.2745098039216	Christian Christiansen	1902	1902	1917	15					
6539	32.0539215686275	Friedrich Robert Helmert	1905	1905	1917	12					
6949	34.0637254901961	Salomon Eberhard Henschen	1897	1900	1930	30					
5874	28.7941176470588	David Gill	1910	1910	1914	4					
19422	95.2058823529412	Dukinfield Henry Scott	1916	1916	1934	18					
13466	66.0098039215686	Waldemar Lindgren	1931	1931	1939	8					
28356	139	Arne Beurling	1937	1937	1986	49					
23054	113.009803921569	Knut Agathon Wallenberg	1928	1928	1938	10					
29617	145.18137254902	Allvar Gullstrand	1905	1905	1930	25					
27916	136.843137254902	Ludwig Boltzmann	1888	1900	1906	6					
21124	103.549019607843	Erik Stensiö	1927	1927	1984	57					
38849	190.436274509804	Nils Holmgren	1928	1928	1954	26					
10630	52.1078431372549	Göran Liljestrand	1938	1938	1968	30	1949	1949			
3870	18.9705882352941	Axel Gavelin	1922	1922	1947	25					
7887	38.6617647058824	Nils Heribert-Nilsson	1943	1943	1955	12					
24003	117.661764705882	Lars Gårding	1953	1953	2014	61					
4647	22.7794117647059	Theodor Magnus Fries	1865	1900	1913	13					
